function,ncalls,tottime_s,cumtime_s
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:262),270780,0.032190,0.032190
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:274),541560,0.056821,0.056821
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:287),201359,0.022914,0.022914
_trace (/papers/SPARS-Pub/SPARS/Logger.py:10),82133,0.036025,0.055590
schedule (/papers/SPARS-Pub/SPARS/Simulator/Scheduler.py:34),40308,0.034418,53.228513
_append_phase_abs (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:108),475370,0.239306,0.297356
print_states_dur (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:98),1,0.001005,0.001324
prep_schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:514),40308,0.124145,44.148227
_get_nodes_by_ids (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:138),25158,0.284438,0.290360
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:130),378644,0.075836,0.075836
start_simulator (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:160),1,0.000000,0.000000
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_auto_switch_on.py:24),728576,0.048376,0.048376
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_auto_switch_on.py:128),40888,0.002855,0.002855
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:343),31958,0.005481,0.005481
release (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:127),10839,0.030927,0.155862
push_event (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:67),18151,0.039949,0.066980
_schedule_next_rl_tick (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:153),40308,0.006353,0.006353
on_finish (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:164),1,0.000007,0.001950
validate_duplication (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:36),14319,0.021812,0.027414
on_finish (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:120),1,0.000064,0.001694
allocate (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:111),10839,0.024319,0.148851
update_node_state_duration (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:207),40308,1.388764,1.388764
_remaining_idle_timeout (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:50),589288,0.644526,0.644526
print_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:79),1,0.000133,0.000282
name (/usr/lib/python3.13/multiprocessing/process.py:189),4,0.000001,0.000001
current_process (/usr/lib/python3.13/multiprocessing/process.py:37),4,0.000003,0.000003
<method 'disable' of '_lsprof.Profiler' objects> (~:0),1,0.000049,0.000049
<built-in method _asyncio.current_task> (~:0),4,0.000005,0.000005
handle (/usr/lib/python3.13/logging/__init__.py:1011),4,0.000012,0.000189
filter (/usr/lib/python3.13/logging/__init__.py:840),8,0.000004,0.000004
flush (/usr/lib/python3.13/logging/__init__.py:1131),4,0.000011,0.000015
_format (/usr/lib/python3.13/logging/__init__.py:463),4,0.000010,0.000010
format (/usr/lib/python3.13/logging/__init__.py:470),4,0.000002,0.000012
current_thread (/usr/lib/python3.13/threading.py:1429),4,0.000004,0.000004
info (/usr/lib/python3.13/logging/__init__.py:1510),4,0.000014,0.000439
getLevelName (/usr/lib/python3.13/logging/__init__.py:129),4,0.000002,0.000004
getMessage (/usr/lib/python3.13/logging/__init__.py:391),4,0.000002,0.000002
format (/usr/lib/python3.13/logging/__init__.py:988),4,0.000004,0.000034
makeRecord (/usr/lib/python3.13/logging/__init__.py:1626),4,0.000011,0.000155
_is_internal_frame (/usr/lib/python3.13/logging/__init__.py:197),12,0.000013,0.000020
handle (/usr/lib/python3.13/logging/__init__.py:1667),4,0.000007,0.000205
usesTime (/usr/lib/python3.13/logging/__init__.py:455),4,0.000003,0.000005
name (/usr/lib/python3.13/threading.py:1096),4,0.000003,0.000003
<lambda> (/usr/lib/python3.13/logging/__init__.py:167),4,0.000010,0.000013
usesTime (/usr/lib/python3.13/logging/__init__.py:677),4,0.000003,0.000008
formatMessage (/usr/lib/python3.13/logging/__init__.py:683),4,0.000002,0.000015
on_finish (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:12),1,0.000002,0.000048
emit (/usr/lib/python3.13/logging/__init__.py:1139),4,0.000013,0.000174
_get_sep (<frozen posixpath>:42),4,0.000002,0.000004
normcase (<frozen posixpath>:53),12,0.000005,0.000007
basename (<frozen posixpath>:166),4,0.000019,0.000025
_splitext (<frozen genericpath>:157),4,0.000005,0.000007
splitext (<frozen posixpath>:117),4,0.000007,0.000014
