function,ncalls,tottime_s,cumtime_s
prep_schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:514),38943,0.116657,41.695836
_get_nodes_by_ids (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:138),24420,0.274081,0.279820
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:130),367812,0.073613,0.073613
start_simulator (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:160),1,0.000000,0.000000
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:343),20946,0.004210,0.004210
release (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:127),10839,0.030447,0.154327
schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:19),38943,0.164285,50.097947
push_event (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:67),17641,0.038254,0.063393
_schedule_next_rl_tick (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:153),38943,0.005881,0.005881
on_finish (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:164),1,0.000006,0.001993
validate_duplication (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:36),13581,0.020664,0.025909
on_finish (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:120),1,0.000069,0.001738
allocate (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:111),10839,0.024846,0.147777
update_node_state_duration (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:207),38943,1.297871,1.297871
_remaining_idle_timeout (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:50),599370,0.692942,0.692942
print_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:79),1,0.000321,0.000484
name (/usr/lib/python3.13/multiprocessing/process.py:189),4,0.000001,0.000001
current_process (/usr/lib/python3.13/multiprocessing/process.py:37),4,0.000002,0.000002
<method 'disable' of '_lsprof.Profiler' objects> (~:0),1,0.000020,0.000020
<built-in method _asyncio.current_task> (~:0),4,0.000004,0.000004
handle (/usr/lib/python3.13/logging/__init__.py:1011),4,0.000010,0.000223
filter (/usr/lib/python3.13/logging/__init__.py:840),8,0.000003,0.000003
flush (/usr/lib/python3.13/logging/__init__.py:1131),4,0.000009,0.000015
_format (/usr/lib/python3.13/logging/__init__.py:463),4,0.000008,0.000008
format (/usr/lib/python3.13/logging/__init__.py:470),4,0.000002,0.000010
current_thread (/usr/lib/python3.13/threading.py:1429),4,0.000003,0.000003
info (/usr/lib/python3.13/logging/__init__.py:1510),4,0.000011,0.000419
getLevelName (/usr/lib/python3.13/logging/__init__.py:129),4,0.000002,0.000004
getMessage (/usr/lib/python3.13/logging/__init__.py:391),4,0.000001,0.000001
format (/usr/lib/python3.13/logging/__init__.py:988),4,0.000004,0.000030
makeRecord (/usr/lib/python3.13/logging/__init__.py:1626),4,0.000009,0.000117
_is_internal_frame (/usr/lib/python3.13/logging/__init__.py:197),12,0.000011,0.000018
handle (/usr/lib/python3.13/logging/__init__.py:1667),4,0.000007,0.000237
usesTime (/usr/lib/python3.13/logging/__init__.py:455),4,0.000004,0.000005
name (/usr/lib/python3.13/threading.py:1096),4,0.000002,0.000002
<lambda> (/usr/lib/python3.13/logging/__init__.py:167),4,0.000007,0.000009
usesTime (/usr/lib/python3.13/logging/__init__.py:677),4,0.000002,0.000008
formatMessage (/usr/lib/python3.13/logging/__init__.py:683),4,0.000002,0.000012
on_finish (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:12),1,0.000002,0.000063
emit (/usr/lib/python3.13/logging/__init__.py:1139),4,0.000011,0.000210
_get_sep (<frozen posixpath>:42),4,0.000002,0.000003
normcase (<frozen posixpath>:53),12,0.000005,0.000007
basename (<frozen posixpath>:166),4,0.000008,0.000013
_splitext (<frozen genericpath>:157),4,0.000004,0.000006
splitext (<frozen posixpath>:117),4,0.000005,0.000012
