function,ncalls,tottime_s,cumtime_s
schedule (/papers/SPARS-Pub/SPARS/Simulator/Scheduler.py:34),37437,0.059248,152.268208
_append_phase_abs (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:123),1079521,0.561539,0.700496
print_states_dur (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:98),1,0.000797,0.001011
_get_nodes_by_ids (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:138),25836,0.303195,0.309335
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:130),381225,0.091498,0.091498
start_simulator (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:160),1,0.000000,0.000000
_recalculate_release_at (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:109),4791936,1.640157,2.042806
release (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:127),10839,0.038464,0.169679
push_event (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:85),18038,0.066311,0.100602
_schedule_next_rl_tick (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:153),37437,0.008508,0.008508
on_finish (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:164),1,0.000006,0.001655
validate_duplication (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:36),14997,0.027494,0.033977
on_finish (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:120),1,0.000048,0.001382
allocate (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:111),10839,0.027390,0.156846
update_node_state_duration (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:207),37437,1.761929,1.761929
_remaining_idle_timeout (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:172),2195089,1.715315,1.715315
print_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:79),1,0.000165,0.000309
name (/usr/lib/python3.13/multiprocessing/process.py:189),4,0.000001,0.000001
current_process (/usr/lib/python3.13/multiprocessing/process.py:37),4,0.000002,0.000002
<method 'disable' of '_lsprof.Profiler' objects> (~:0),1,0.000027,0.000027
<built-in method _asyncio.current_task> (~:0),4,0.000004,0.000004
handle (/usr/lib/python3.13/logging/__init__.py:1011),4,0.000008,0.000173
filter (/usr/lib/python3.13/logging/__init__.py:840),8,0.000003,0.000003
