function,ncalls,tottime_s,cumtime_s
_allocate (resources.py:642),209811,0.157649,0.314009
_start_computing (resources.py:662),209811,1.006410,2.475877
_release (resources.py:685),209811,0.722359,1.407601
__set_state (resources.py:709),419622,0.963397,0.995978
size (resources.py:757),629433,0.295780,0.576630
hosts (resources.py:784),4801723087,880.664680,1179.903230
<lambda> (resources.py:799),73931200,11.936010,28.944265
get_not_allocated_hosts (resources.py:791),6601,14.101733,57.968189
get_host (resources.py:818),629433,0.922807,1.545455
add_to_job_infos (sds_env.py:70),915,0.003190,0.003604
__del__ (subprocess.py:939),1,0.000023,0.000024
communicate (subprocess.py:984),1,0.000056,0.000327
_remaining_time (subprocess.py:1058),71,0.000248,0.000367
wait (subprocess.py:1078),2,0.000141,3.332962
_handle_exitstatus (subprocess.py:1724),1,0.000033,0.000054
_internal_poll (subprocess.py:1742),1,0.000001,0.000001
_try_wait (subprocess.py:1777),72,0.000352,0.001329
_wait (subprocess.py:1790),2,0.002738,3.332182
send_signal (subprocess.py:1945),1,0.000001,0.000001
terminate (subprocess.py:1951),1,0.000015,0.000016
discard (_weakrefset.py:111),1,0.000052,0.000054
encode (encoder.py:182),1701,0.007055,0.039231
iterencode (encoder.py:204),1701,0.031064,0.031064
__init__ (decoder.py:284),1700,0.031872,0.031872
decode (decoder.py:332),1700,0.011996,0.419856
raw_decode (decoder.py:343),1700,0.043274,0.386528
__hash__ (enum.py:735),652192,0.665372,1.010366
name (enum.py:748),25644,0.007825,0.007825
value (enum.py:753),421452,0.452870,0.452870
__get__ (types.py:171),447096,1.188469,1.649165
dumps (__init__.py:183),1701,0.005396,0.044628
loads (__init__.py:299),1700,0.026992,0.483825
__getitem__ (enum.py:386),2748,0.002063,0.002063
<genexpr> (enum.py:393),24732,0.013284,0.013284
__iter__ (enum.py:389),2748,0.012962,0.012962
<built-in method math.floor> (~:0),4729383645,542.999010,542.999010
__instancecheck__ (abc.py:96),3660,0.003397,0.016336
__subclasscheck__ (abc.py:100),4,0.000003,0.000098
<method 'decode' of 'bytes' objects> (~:0),1700,0.009178,0.009178
<method 'clear' of 'list' objects> (~:0),1701,0.000680,0.000680
<method 'append' of 'list' objects> (~:0),2164588,1.045700,1.045700
<method 'remove' of 'list' objects> (~:0),915,0.003809,0.003809
<method 'count' of 'list' objects> (~:0),1,0.000001,0.000001
<method 'get' of 'dict' objects> (~:0),3662,0.004565,0.007488
<method 'keys' of 'dict' objects> (~:0),1654,0.000695,0.000695
<method 'items' of 'dict' objects> (~:0),915,0.000285,0.000285
<method 'update' of 'dict' objects> (~:0),915,0.000923,0.000923
<method 'clear' of 'dict' objects> (~:0),1,0.000005,0.000005
<method 'add' of 'set' objects> (~:0),209811,0.017566,0.017566
<method 'discard' of 'set' objects> (~:0),1,0.000001,0.000001
<method 'remove' of 'set' objects> (~:0),209811,0.168977,0.168977
<built-in method __new__ of type object at 0x7b465e552980> (~:0),3172546,0.522756,0.522756
<method 'encode' of 'str' objects> (~:0),1701,0.002842,0.002842
<method 'split' of 'str' objects> (~:0),9813,0.008371,0.008371
<method 'join' of 'str' objects> (~:0),4095,0.004216,0.009588
<method 'upper' of 'str' objects> (~:0),1,0.000058,0.000058
<method 'startswith' of 'str' objects> (~:0),1700,0.004967,0.004967
<built-in method builtins.any> (~:0),3401,0.004264,0.011770
<built-in method builtins.format> (~:0),2493,0.002350,0.013824
<built-in method builtins.getattr> (~:0),1,0.000002,0.000002
<built-in method builtins.hash> (~:0),652192,0.344994,0.344994
<built-in method builtins.isinstance> (~:0),4811442648,301.295627,301.311963
<built-in method builtins.len> (~:0),643469,0.290221,0.291489
<built-in method builtins.max> (~:0),6587285,1.438649,1.438649
<built-in method builtins.min> (~:0),6334117,1.500021,1.611568
<built-in method builtins.next> (~:0),14558484,2.425405,64.062031
<built-in method builtins.sorted> (~:0),4033,1.544549,114.110255
<built-in method builtins.sum> (~:0),1830,0.001799,0.006343
<built-in method posix.waitpid> (~:0),72,0.000977,0.000977
<built-in method posix.WIFSIGNALED> (~:0),1,0.000020,0.000020
<built-in method posix.WIFEXITED> (~:0),1,0.000000,0.000000
<built-in method posix.WEXITSTATUS> (~:0),1,0.000001,0.000001
<method 'end' of 're.Match' objects> (~:0),3400,0.000941,0.000941
<method 'match' of 're.Pattern' objects> (~:0),3400,0.019980,0.019980
<built-in method _operator.or_> (~:0),5493224,0.420536,0.420536
<built-in method _abc._abc_instancecheck> (~:0),3660,0.012840,0.012939
<built-in method _abc._abc_subclasscheck> (~:0),4,0.000095,0.000095
<built-in method time.time> (~:0),1,0.000001,0.000001
<built-in method time.sleep> (~:0),71,3.326401,3.326401
<built-in method time.monotonic> (~:0),73,0.000760,0.000760
<method 'acquire' of '_thread.lock' objects> (~:0),72,0.000909,0.000909
<method 'release' of '_thread.lock' objects> (~:0),72,0.000052,0.000052
<method 'close' of '_io.BufferedReader' objects> (~:0),1,0.000107,0.000107
<method 'read' of '_io.BufferedReader' objects> (~:0),1,0.000159,0.000159
<method 'disable' of '_lsprof.Profiler' objects> (~:0),1,0.000050,0.000050
